order_id,payment_sequential,payment_type,payment_installments,payment_value
ba78997921bbcdc1373bb41e913ab953,1,credit_card,8,107.78
42fdf880ba16b47b59251dd489d4441a,1,credit_card,2,128.45
616105c9352a9668c38303ad44e056cd,1,credit_card,1,75.78
cf95215a722f3ebf29e6bbab87a29e61,1,credit_card,5,102.66
d0a945f85ba1074b60aac97ade7e240e,1,credit_card,2,541.0
b2bb080b6bc860118a246fd9b6fad6da,1,credit_card,1,173.84
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41
e8977f709bbb0367f51b589e6325f991,1,credit_card,1,132.51
2e2c60b99754ae1e4d8b18846cfec9f2,1,credit_card,4,542.66
4217849b1ff18a9270fe048eabc4dc45,1,credit_card,1,67.88
60e43c5f5ba559d9dd19357ed72cb2f2,1,credit_card,2,78.3
110d9355d6338eab0a65a0cacdde5434,1,credit_card,5,566.4
8e47a04b25d7a7075064e8e0bd2e0318,1,credit_card,1,37.61
b19ca559688b49e8cf7f88c1aa3f0009,1,credit_card,7,73.34
5be8d4719fe2e3669e2d07dddf3b6b0c,1,credit_card,4,117.85
557cc2675910c4a6c9b54ad276f25097,1,credit_card,1,56.77
d60a89ab9bc1e68834465ae630c3343e,1,credit_card,2,115.59
85a4fbdba48c815924115fb82330071c,1,credit_card,3,34.09
46ee6eaca194413758f200a6974b7e4d,1,credit_card,3,71.99
cf61ad2218e5c14397e7c0ba7a6a50f9,1,debit_card,1,35.14
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
8973a53fcad22a79e0ff315e7f9a0fd9,1,credit_card,2,176.7
1d92d2ce1ae2e0510b5ce50c5be578c6,1,credit_card,2,110.03
a5f860aaf6a3c35399495aefe92d363f,1,credit_card,1,75.75
c604ad5f1e0d0bcf9977cf46d1d72303,1,credit_card,1,31.0
0c99132c4ff916416ba8f74c378f1cbc,1,credit_card,4,135.93
66a4fa2d40fed98c34ced62496fdb1e7,1,credit_card,1,267.05
82ffe097d8ddbf319a523b9bbe7725d5,2,voucher,1,30.0
5e5d1342989d05440629e2162fa52d07,1,credit_card,1,48.61
9bdcb4559b75d21a22fcd868d9e5dfec,1,credit_card,8,348.02
3597f6476c27b4e1cc2f58588116f8f5,1,boleto,1,85.14
53035288acc866ee15423b4293722b46,1,credit_card,1,375.74
487c1451b8fd7347d0e80e5aca887e91,2,voucher,1,30.0
65c863d90026e9dd4888e28d2135c983,2,voucher,1,50.0
4a4ed9ed7922304a569ed850baba99c6,1,credit_card,3,33.13
67c8c2016ddabf0059783eb44e921f99,1,boleto,1,68.54
b545ba7b0bd67a3128185c7214704319,1,credit_card,8,340.08
9d8065ae4c6f5725ee052d02ab00f64e,1,boleto,1,82.06
9e59025992bd64bc26551391ed44a450,1,credit_card,3,67.01
591083bc42b589c7052118aa83118e76,5,voucher,1,20.0
e1b6234c322ab01a32771bf57c597043,1,credit_card,8,156.09
c79bdf061e22288609201ec60deb42fb,1,credit_card,1,12.22
648b4f683ccf074ebe65a73c8096dd18,1,credit_card,4,139.87
02951078a21a2d9341ea16089a4d5031,1,credit_card,12,257.1
52636dd3c039f62169b0eb724af63047,1,credit_card,2,77.77
fa12564d7462c9a851c79c301bcb97de,1,credit_card,3,103.79
6cdb86865449a92089579ea715e1c1d1,1,credit_card,1,52.57
9f1cdc0e091b90e61836ddc009a60ef2,1,credit_card,4,48.22
76b8568803f110a59ece4167463a4a7e,1,debit_card,1,76.39
bf951e41c5adb873b7fdcc1e83b406bf,1,credit_card,1,54.85
7cb79316d2abe37e16ec83a07afb2895,1,credit_card,1,13.55
7250e10eca3d7f71a091ac5752d3228f,1,credit_card,1,221.96
101fa9bbc869f267953a48b0f659dc62,1,credit_card,9,131.47
d189b98b9c4f5325db664c5455fe927c,1,credit_card,1,341.58
6b58f3523e45f9838f702acbc21e2f51,1,credit_card,1,44.23
009ac365164f8e06f59d18a08045f6c4,5,voucher,1,8.75
1f31fc163d36ff823c54a14e947b5bc8,1,credit_card,2,114.13
e6f98f32bf5e724269a5e9cb2529f2e3,1,credit_card,5,153.22
aeb81ccabe4f164a26e763cd5b07fd99,1,boleto,1,70.89
edb14cad806f8ea19a08ed06c26726a2,1,credit_card,2,31.38
29aefbcf33949b65e5303167977e0362,1,voucher,1,84.88
e4fe84926e03b0030e643318464be6a7,1,credit_card,2,217.15
07a26b88cc90e93f5c9401de11a60793,1,credit_card,1,20.29
ce7cf6dd8f80dfb98716950ae40eca59,1,boleto,1,171.75
9027f38fa8afb91a7ad77fd92abf97a1,1,credit_card,5,477.45
49f62326ab0dc444db19abf56861df10,1,credit_card,10,109.59
7246a71d326111872bfdfd34f495dc4f,1,credit_card,5,117.53
d2ebd7492d92dfb6a5737ba33a58f920,1,credit_card,4,144.54
bfc9f97fc7ddacf8a3c33c4b2bd15a93,1,credit_card,2,229.74
838411338443a817cfb4c26f0f7a9c9a,1,boleto,1,63.7
ce6d150fb29ada17d2082f4847107665,1,credit_card,10,1586.47
e147052b9ecc00bf938f9e8581944207,1,credit_card,4,263.95
dbdcb70ae949e4cce08f59bfa7e4604b,1,boleto,1,159.31
ed90ba41c41da31da8e891ff43a584d1,1,credit_card,7,156.22
0bdb173bda4bf7e4109fe707c309252a,1,credit_card,10,132.95
47d051e89cf6490245136694a26a4395,1,credit_card,5,107.35
